comment_id,video_id,text_original,text_final,sentiment
Ugzf3vaWgnLcnBuDkS14AaABAg,F6fgLwUeeqI,Yang menolak ruu TNI dan demo fix mereka Dungu hahahaha😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂,tolak ruu_tni demo bodoh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh,positif
UgwRndVokPB_34gJszB4AaABAg,sg8Mzx0fZbU,"Kalo saya sih sangat setuju sekali bila TNI ambil bagian dipengaman masyarakat..kita lihat aja selama ini masyarakat udah gak punya aturan lagi seakan-akan,bila TNI bergerak semua aman sentosa.. BRAVO TNI",sangat setuju sekali bila tni ambil kam masyarakat lihat lama masyarakat sudah tidak punya atur bila tni gerak aman sentosa bravo tni,positif
UgzHDU30VPRSMo37hhl4AaABAg,7CLZkPwhEG4,"Sepertinya dari dulu inilah yg di takutkan kelompok bersenjata yg ingin merdeka dan berdiri sendiri seperti GAM,KKB DLL yg menentang wewenang pemerintah negara yg semakin tidak masuk logika😂😅😅😂😅😂😅😂😅",takut kelompok senjata merdeka diri gam kkb wewenang pemerintah negara semakin tidak masuk logika emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other emo_laugh emo_other,positif
UgzpHmW2Qq99wWiYSLp4AaABAg,7CLZkPwhEG4,"saya sangat setuju  RUU TNi di sah kan, karena TNi itu   pembela NKRi No 1 . dan pasti mnjadi aman , Geng .otor , BegaL , rampok  , Preman2 mjadi t
akut brbuat jahat .",sangat setuju ruu_tni sah tni bela nkri no mnjadi aman geng otor begal rampok preman preman mjadi akut brbuat jahat,positif
Ugx8mxiG0o8VTtHJ0Np4AaABAg,7CLZkPwhEG4,Sangat setuju biar preman preman yang meresahkan masarakat takut biar negara aman dan gak afa keonaran lagi,sangat setuju preman preman resah masyarakat takut negara aman tidak afa onar,positif
UgzIN-eI7HWzIjwDQCx4AaABAg,sg8Mzx0fZbU,"GW SANGAT SETUJU UU TNI, BRAVO TNI INDOGNESIA",sangat setuju uu_tni bravo tni indognesia,positif
UgwVrW0hOTzPgyAvZ2p4AaABAg,7CLZkPwhEG4,Saya sangat setuju uu tni.... Bila perlu 60%dalam  lembaga sipil,sangat setuju uu_tni bila perlu lembaga sipil,positif
Ugz0_gM6aXJksV0hy-F4AaABAg,7CLZkPwhEG4,SANGAT SETUJU UU TNI DIBERKAKUKAN DI INDINESIA SIAPAPUN PRESIDENYA SEKARANG ATAU KE DEPAN,sangat setuju uu_tni kaku indinesia presidenya depan,positif
Ugz21x5CZihzdCaceEd4AaABAg.AFtJ2AUt78rAGB92wbfw9C,F6fgLwUeeqI,"@21.Buzzer2 palalu bau menyan,yang nolak RUU TNI dia adalah antek2 asing termasuk lu yang mau melemahkan pertahanan Indonesia dari dalam khususnya TNI dengan cara menyebarkan hoax,propaganda, adu domba dll karena negara asing terutama negara adidaya super power adikuasa resah akan kebijakan Presiden Prabowo Subianto mengenai hilirisasi di bidang pertambangan yang negara asing selama ini menikmati bahan mentah dari sumber daya alam milik Indonesia bukan bahan jadi,masuknya Indonesia ke BRICS saingan dari G8.tugas TNI dalam siber sangat penting karena ikut mengamankan objek vital negara terutama istana negara dari penyadapan negara asing yang pernah terjadi saat di era Presiden ke 6 SBY yang telpon beliau dan menteri2nya disadap oleh badan intelijen milik Australia selain mengamankan jalur komunikasi penting Presiden TNI juga mengamankan jalur komunikasinya objek vital militer yang bersifat strategis dari serangan cyber negara asing ataupun intelijen asing yang dimana setiap tahun terjadi serangan cyber yang masif dan gencar terhadap Indonesia bayangan jika negara asing terutama negara barat utamanya Paman Sam berhasil menghack semua jaringan internet dan jalur transportasi di Indonesia bisa dibayangkan akan banyak korban jiwa berjatuhan dari kalangan sipil dan militer perang sekarang bukan tembak tembakan menggunakan senjata tapi menggunakan siber atau cyber war contoh operasi khusus Rusia di Ukraina yang banyak melibatkan serangan siber untuk melumpuhkan jaringan komunikasi militer Ukraina untuk pemberantasan narkoba di Indonesia lihat lagi berita2 di tv baik di media cetak media masa dan elektronik mengenai penggagalan penyelundupan narkoba oleh jaringan narkoba internasional oleh TNI di daerah perbatasan Kalimatan dll yang menyelamatkan generasi muda dan mudi penerus bangsa dan negara Indonesia ini dari bahaya narkoba perlu lu ketahui jaringan narkoba internasional dan negara asing terutama negara barat Paman Sam akan terus mengirimkan anggota2 dari badan intelijen miliknya yaitu CIA dengan kedok sebagai agen tapi berkamuflase menjadi apa saja untuk menghancurkan generasi muda dan muda penerus bangsa dan negara Indonesia ini mungkin lu keluarga lu orang tua lu saudara2 lu saudara dari orang tua lu kalau lu udah berkeluarga saudara2 dari istri lu dari temen2lu anak2u lu perlu merasakan terkena atau terjerat narkoba dulu baru lu sadar",palalu bau menyan nolak ruu_tni antek antek asing masuk lemah tahan indonesia khusus tni cara sebar hoax propaganda adu domba negara asing utama negara adidaya super power adikuasa resah kebijakan presiden prabowo subianto kena hilir bidang tambang negara asing lama nikmat bahan mentah sumber daya alam milik indonesia bukan bahan masuk indonesia brics saing gb tugas tni siber sangat penting ikut aman objek vital negara utama istana negara sadap negara asing pernah era presiden sby telpon beliau menteri menteri sadap badan intelijen milik australia aman jalur komunikasi penting presiden tni aman jalur komunikasi objek vital militer sifat strategis serang cyber negara asing intelijen asing tahun terjad,positif
UgxyrNC75Zwdk_bu1f94AaABAg,7CLZkPwhEG4,"Rakyat kecil sangat setuju uu TNI ,yg banyak koruptor dr sipil  lk perlu kembalikan ordebaru",rakyat kecil sangat setuju uu_tni koruptor sipil lk perlu ordebaru,positif
UgzZkxUvpZi_Ufarprt4AaABAg,7CLZkPwhEG4,"ada 300 orang yang mendukung UU TNI di depan gedung DPR. ketika ditanyai alasannya kenapa, bisa mendukung UU TNI, mereka malah menjawab ""gatau"" kocak kocak",dukung uu_tni depan gedung dpr tanya alas dukung uu_tni malah jawab gatau kocak kocak,positif
UgzoYpQkxcqX63rIP_94AaABAg,KjXe214MfwQ,"isi ruu tni 3 pokok utama:
1. TNI bisaa masuk jabatan dalam 16 kementrian terkait dg pertahanan negara. aturan lama hanya 10 kementrian, di ruu baru ditambah 6. 
UU yang lama 10 tersebut: Koor bid polkam, pertahanan negara, setmilpres, intelijen negara,sandi negara, lemhanas, dewan pertahanan nasional, sar nasional, narkotika nasional, MA
6 penambahan RUU yang baru:
Pengamanan laut (bakamla), Penanganan bencana ( bnpb ), Penanganan Terorisme (bnpt), Kelautan dan perikanan, kejaksaan agung, dan pengelola perbatasan (bnpp)
selain yang 16 tersebut bisa saja tetapi harus pensiun dulu dr tni
2. Batas usia pensiun: bintara tamtama 55 tahun, perwira 58-62 th sesuai pangkat
3. kedudukan tni dibawah kemenhan: kedudukan tni dapat berada dibawah koordinasi kementrian pertahanan.
.
Dalam naskah hasil pembahasan per Sabtu (15/3), pemerintah mengusulkan penambahan tugas militer TNI di luar perang. Dalam UU sebelumnya, ada 14 tugas militer TNI di luar perang.

Dalam RUU terbaru, pemerintah mengusulkan tiga tugas baru. Pertama, TNI memiliki tugas untuk membantu dan menanggulangi ancaman siber. Kedua, TNI bisa membantu dan menyelamatkan WNI dan kepentingan nasional di luar negeri.

Ketiga, TNI memiliki wewenang untuk membantu menangani masalah penyalahgunaan narkotika.

ga ada di ruu itu yang mau mengaktifkan dwi fungsi abri seperti yang di besar besarkan.  sebelumnya aturan ini udah ada cuma dirubah sedikit.
jadi jangan bisanya kemakan hoax aja tanpa nyari tau.
intinya TNI hanya bisa mengurus hal yang berkaitan dg keamanan negara dan pertahanan negara",isi ruu_tni pokok utama tni masuk jabatan tri kait tahan negara atur lama tri ruu tambah uu lama sebut koor bid polkam tahan negara setmilpres intelijen negara sandi negara lemhanas dewan tahan nasional sar nasional narkotika nasional ma tambah ruu aman laut bakamla tangan bencana bnpb tangan terorisme bnpt laut ikan jaksa agung kelola batas bnpp sebut pensiun tni batas usia pensiun bintara tamtama tahun perwira tahun sesuai pangkat duduk tni bawah kemenhan duduk tni bawah koordinasi tri tahan naskah hasil bahas sabtu pemerintah usul tambah tugas militer tni luar perang uu belum tugas militer tni luar perang ruu pemerintah usul,positif
UgzH4WnIW7YonOvJGop4AaABAg,7CLZkPwhEG4,Memang begini lebih bagus.. untuk lebih mudah mengatur rakyat ini yg sdmnya rendah. Saya setuju dan sangat setuju... dan mungkin kedepannya mengutangi angka koruptor,memang lebih bagus lebih mudah atur rakyat sdmnya rendah setuju sangat setuju depan utang angka koruptor,positif
UgyAvlyhE01me0-xeZB4AaABAg,7CLZkPwhEG4,Saya masyarakat sipil sangat setuju sekali TNI bersatu dengan masyarakat sipil,masyarakat sipil sangat setuju sekali tni satu masyarakat sipil,positif
Ugw3pbbcYPVTQ1MiWkh4AaABAg.AG7o7Mc5L5kAG8Mk9GLTqB,sg8Mzx0fZbU,"masalahnya kita ini hampir di semua aspeknya bobrok. Kalo saling merajut dalam kebaikan dan terus memperbaiki walaupun ada yang kecolongan kayak yang lu sebutin itu jatohnya kek sebuah utopia di negara kita tercinta ini saking bobroknya keadaan aspek-aspek vital kita ini. Hampir semua aspek itu rata-rata nyari untung sendiri. Sekalinya ada yang mau melakukan tindakan demi kemaslahatan bersama, individu yang bersangkutan itu kemungkinan besar dijegal buat ngamanin posisi masing-masing. Yang atas egois, yang bawah juga egois.... ujung-ujungnya apa yang lu bilang ini selama berbagai aspek vital itu bobrok, itu semua gak ada bedanya ama mimpi utopia di tengah kejamnya realita. Analogi simpelnya apa yang lu omongin itu sama persis kek Mugen Tsukuyomi. Selama sistemnya belum diperbaiki, aspek-aspek vital yang bobroknya belum dibenahi dan rakyat-rakyatnya belum maju pemikirannya, apa yang lu bilang ini.... mohon maaf, gak ada bedanya ama narasi-narasi positif yang cuman jadi mimpi di siang bolong aja.",masalah aspek buruk saling rajut baik baik walaupun colong sebutin jatohnya buah utopia negara cinta saking buruk aspek aspek vital aspek rata rata nyari untung sekali melakukan tindak maslahat individu sangkut besar jegal ngamanin posisi atas egois bawah egois ujung ujung bilang lama bagai aspek vital buruk tidak beda mimpi utopia tengah kejam realita analogi simpel omongin persis mugen tsukuyomi lama sistem belum baik aspek aspek vital buruk belum benah rakyat rakyat belum maju pikir bilang mohon maaf tidak beda narasi narasi positif cuman mimpi siang bo,positif
UgxoD30HBREDz5VFE554AaABAg,F6fgLwUeeqI,"ruunya sudah benar, percaya sama pak praboowo",ruunya sudah benar percaya praboowo,positif
Ugwn4oShXG0Dn5cesz54AaABAg,KjXe214MfwQ,Lebah baik jaman orba...aku sangat setuju...😊😊,lebah baik jaman orde aku sangat setuju emo_other,positif
UgwtGlhAkYQMMYskV-t4AaABAg,sg8Mzx0fZbU,"Salut. Apalagi kalau kejadian 1998 di reka ulang. Aku sangat setuju, karna sistem bernegara ini sudah rusak. Jangan pernah pakai istilah terlanjur",salut 1998 reka ulang aku sangat setuju sistem negara sudah rusak jangan pernah pakai istilah lanjur,positif
