_id,comment_id,parent_comment_id,video_id,author,author_channel_id,published_at,like_count,text_original,text_final,preprocessing_version,processed_at
6a41494a75da6b5a40d9cd91,Ugz1ceahyND_JQsM3mt4AaABAg,,7CLZkPwhEG4,@xyz_123-h6b,UCSXIF0ilhZwDuvhu9OiG6sg,2025-03-23T19:06:26Z,1,"1:00 ""karena mereka cenderung takut sama TNI. fix ini harus di sahkan biar sipil kelas atas susah korupsi... dan rakyat indonesia SDM rendah terlalu dongo untuk tolak uu tni 🤣. yg banyak korupsi siapa TNI,sipil kelas atas  seperti pejabat atau oknum polisi??. otak dipiara woy mahasiswa dongo dongo. pantes indonesia gelap. wong generasi gen z nya dongo 🤣",00 cenderung takut sama tni fix sahkan biar sipil kelas atas susah korupsi rakyat indonesia sdm rendah terlalu dongo tolak uu tni emo_laugh banyak korupsi siapa tni sipil kelas atas pejabat oknum polisi otak dipiara woy mahasiswa dongo dongo pantes indonesia gelap wong generasi gen nya dongo emo_laugh,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd92,UgxSI467JU-MZs399E94AaABAg,,F6fgLwUeeqI,@Atticus8910,UCPB3WkcRM-8Twy1VKMwQagA,2025-03-22T05:59:43Z,0,05:00 Gw ga peduli Deddy Corbuzier bikin video karna disuruh atau atas kemauan dia sendiri. Fakta kalau dia menerima jabatan dan wewenang yang padahal dia ga punya kompetensi dan kualifikasi relevan aja udah salah. I'm not gonna listen to this bullshit any longer so take this dislike from me,05 00 tidak peduli deddy corbuzier bikin video disuruh atas kemauan sendiri fakta kalau menerima jabatan wewenang padahal tidak punya kompetensi kualifikasi relevan salah not gonna listen to this bullshit any longer so take this dislike from me,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd93,UgxxT1NkGTVadSyBvgd4AaABAg,,sg8Mzx0fZbU,@N0name9999,UCrXh8DRINgyvwJSNKC4tiZA,2025-03-26T10:31:38Z,2,10:24 sementara dia hidup,10 24 hidup,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd94,UgxbC-25m53jNXU57yl4AaABAg,,sg8Mzx0fZbU,@ArcaSenseiBukanPE0D,UCx44Z-sZtR51RNv8AgaiKtA,2025-03-27T11:34:42Z,0,10:40 💀💀💀💀 Nazi Goreng,10 40 emo_other emo_other emo_other emo_other nazi goreng,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd95,UgzkypeadiqBCjW3h914AaABAg,,sg8Mzx0fZbU,@MonsterInc-j9e,UCtlmx0r-e7-syALEEJX67Yg,2025-03-28T16:10:40Z,0,5-10 tahun lagi bubar dah ni negara,10 tahun bubar ni negara,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd96,Ugz5w7vqNbx1l3qNUQp4AaABAg,,7CLZkPwhEG4,@YsF_85,UCuPJwu19rodi4jEdaS_lymw,2025-03-20T21:25:29Z,0,10 tahun sdh nampak bobroknya\nEhhhhh... Malah pilih yg sejalan dgn yg 10 tahun yg lalu\nSkrg sibuk koar2\nLucu emang warga negara konoha ini😂😂😂\nDi kasih yg pintar malah pilih yg omon\nHadehhhh🤭🤭🤭🤭,10 tahun nampak bobroknya ehh malah pilih sejalan 10 tahun lalu sekarang sibuk koar2 lucu memang warga negara konoha emo_laugh emo_laugh emo_laugh kasih pintar malah pilih omon hadehh emo_other emo_other emo_other emo_other,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd97,UgzxYnjWBnw4hj-4XDB4AaABAg,,F6fgLwUeeqI,@atseebio,UC6IJdSd847IHjbgnRoiHk_Q,2025-03-21T08:26:56Z,0,11:50,11 50,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd98,UgymWNriukcflpwgmEZ4AaABAg,,sg8Mzx0fZbU,@kangbogeng7794,UCoSEM2tlIL_pG48RBUjXfNQ,2025-03-27T11:03:50Z,0,"13:03 sama aja, cuman konoha pake second account",13 03 sama cuman konoha pakai second account,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd99,UgxXvP-6s6OxdwZ3iGB4AaABAg,,sg8Mzx0fZbU,@SinEater_0,UC7npR4bEoh_CQ6EIyh9-pBA,2025-03-26T15:51:02Z,0,"13:18 ngotak ngatik undang-undang gitu ky ga asing, ky mirip dimanaaa gitu",13 18 ngotak ngatik undang undang gitu ky tidak asing ky mirip dimanaa gitu,spark_text_final_v1,2026-06-28T16:18:09.051Z
6a41494a75da6b5a40d9cd9a,Ugz30_J2bn6bqxBKLap4AaABAg,,F6fgLwUeeqI,@m.luthfifahrezi3577,UCFPh9exj4eHIOl_DuqZBnYQ,2025-03-20T04:48:59Z,3,"13:45 ""Goblok kali kita dipikirnya ya""",13 45 goblok kali dipikirnya,spark_text_final_v1,2026-06-28T16:18:09.051Z
