comment_id,thread_id,video_id,author,author_channel_id,published_at,updated_at,like_count,total_reply_count,text_original,text_clean,text_preprocessed,text_stemmed,char_count,word_count,emoji_count,url_count,hashtag_count,mention_count,exclamation_count,question_count,uppercase_ratio
UgzYnpoEjWSG7QJYK6x4AaABAg,UgzYnpoEjWSG7QJYK6x4AaABAg,F6fgLwUeeqI,@hunink-n8f,UCHHsL5lc8eYV5Jw8zkaCqzQ,2026-01-06T11:03:40Z,2026-01-06T11:03:40Z,1,0,"SETIAP NEGARA PASTI PUNYA OLIGARKINYA MASING MASING,BEDANYA OLIGARKI NEGARA MAJU ADALAH INDUSTRIALISASI(mesin elektro tekno terbarukan chip dll)YG MENYANGGA EKONOMI NEGARA MAJU DI RANAH GLOBAL,DITAMBAH OLIGARKI DI NEGARA MAJU BERSETATUS CHEBOL(masih bisa di kendalikan pemerintah).SEMENTARA OLIGARKI DI NEGARA BERKEMBANG(indo)NON INDUSTRIALISASI(kaya dari tambang & impor)YANG MEMBUNUH KREATIFITAS INOVATIFITAS PRODUKTIFITAS RAKYAT ITU SENDIRI(oligarkinonindustri=racun negara).PARAHNYA OLIGARKI INDO SUDAH TERLANJUR JADI MONSTER NAGA RAKSASA YG SULIT DI KENDALIKAN NEGARA(terbukti era habibi mega sby joko hanya bisa menyegel dalam artian hanya bisa diajak kerja sama tak bisa di perintah)BAHKAN SANGKING KAYANYA BISA MENGUASAI NEGARA ITU SENDIRI.KITA TAK BISA MENYALAHKAN PARA OLIGARKI BEGITU SAJA KARNA MEREKA BERJALAN SESUAI SISTEM HUKUM EKONOMI,YG SALAH ADALAH KEBIJAKAN YG DI AMBIL PEMERINTAHAN TERDAHULU.DIMANA SEMUA BERMULA DARI ORDE BARU YG SELAMA INI KITA ANGGAP PAHLAWAN TERNYATA MEMBERI SETENGAH NYAWA SAKTI NEGARA  KPD SEGELINTIR CACING KECIL(keroni yg kelak jadi naga)DI TAHUN TAHUN EMAS(90an era negara negara hancur asia timur,Singapore,malaysia sedang pemulihan saling bersaing mulai industrialisasi dari nol,sementara soeharto terlena dngn pemasukan sda tambang migas membiarkan industri lokal mati kalah saing,uang negara hanya di prioritaskan ke para kroninya saja yg bergantung impor tanpa kreativitas produktifitas,rakyat di biarkan bodoh terlena dengan produk impor,tidak ada rasa ingin buat mobil lokal,semua hanya di doktrin jadi petani serentak tanpa pemasukan tambahkan dari teknologi)TAK TERASA 32 TAHUN BERKUASA KEMUDIAN CACING ITU DAH JADI NAGA RAKSASA DI PERPARAH 98 HUTANG NEGARA KIAN BERTAMBAH.GEN Z SEBAGAI GENERASI TERAKHIR DI SURUH NANGGUNG DOSA PARA LELUHUR(generasi kakek & bomer)UNTUK PERANG EKONOMI DENGAN TIRANI OLIGARKI DALAM NEGRI & TEKANAN IMPOR PERUSAHAAN LUAR NEGRI DENGAN MODAL SISA SISA KERAPUHAN SISTEM PEMERINTAHAN NEGRI INI YG DI GROGOTI PARA TIKUS TIRANI,ORMAS,PARTAI,HUTANG MENGGUNUNG,GODAAN KONTEN SAMPAH YG MERUSAK MORAL GEN Z ITU SENDIRI.TANPA BIMBINGAN,BEKAL ILMU YG MUMPUNI GEN Z DI PAKSA MENYEMBUHKAN NEGRI YANG SAKIT PARAH.MUNGKIN ITU SEBAB DI JULIKI GENERASI EMAS KARNA GENERASI AKHIR DEMOGRAFI INDONESIA,HARAPAN TERAKHIR PENYELAMAT EKONOMI NEGRI UNTUK GENERASI KEDEPAN HINGGA ANAK CUCU.JIKA ITU GAGAL NEGRI HANCUR,PORAK PORANDA PERANG SAUDARA,SEMENTARA BISNIS KONGLOMRAT MASIH BERDIRI TEGAK JADI PERUSAHAAN INTERNASIONAL.MAKANYA GEN Z INI JADI GENERASI PALING BERAT,PALING KERAS,PALING RAWAN YG AKAN MENGHADAPI BADAI EKONOMI YG DAHSYAT LEBIH DARI SEKEDAR KRISIS MONOTER 98.KALO TAK DI ARAHAN NEGRI INI AKAN SEPERTI AFRIKA DAN TIMTENG HANYA PERANG DAN PERANG UNTUK KEPENTINGAN.6rdr6d",setiap negara pasti punya oligarkinya masing masing bedanya oligarki negara maju adalah industrialisasi mesin elektro tekno terbarukan chip dll yang menyangga ekonomi negara maju di ranah global ditambah oligarki di negara maju bersetatus chebol masih bisa di kendalikan pemerintah sementara oligarki di negara berkembang indo non industrialisasi kaya dari tambang impor yang membunuh kreatifitas inovatifitas produktifitas rakyat itu sendiri oligarkinonindustri racun negara parahnya oligarki indo sudah terlanjur jadi monster naga raksasa yang sulit di kendalikan negara terbukti era habibi mega sby joko hanya bisa menyegel dalam artian hanya bisa diajak kerja sama tak bisa di perintah bahkan sangking kayanya bisa menguasai negara itu sendiri kita tak bisa menyalahkan para oligarki begitu saja karena mereka berjalan sesuai sistem hukum ekonomi yang salah adalah kebijakan yang di ambil pemerintahan terdahulu dimana semua bermula dari orde baru yang selama ini kita anggap pahlawan ternyata memberi setengah nyawa sakti negara kepada segelintir cacing kecil keroni yang kelak jadi naga di tahun tahun emas an era negara negara hancur asia timur singapore malaysia sedang pemulihan saling bersaing mulai industrialisasi dari nol sementara soeharto terlena dngn pemasukan sda tambang migas membiarkan industri lokal mati kalah saing uang negara hanya di prioritaskan ke para kroninya saja yang bergantung impor tanpa kreativitas produktifitas rakyat di biarkan bodoh terlena dengan produk impor tidak ada rasa ingin untuk mobil lokal semua hanya di doktrin jadi petani serentak tanpa pemasukan tambahkan dari teknologi tak terasa tahun berkuasa kemudian cacing itu sudah jadi naga raksasa di perparah hutang negara kian bertambah gen z sebagai generasi terakhir di suruh nanggung dosa para leluhur generasi kakek bomer untuk perang ekonomi dengan tirani oligarki dalam negri tekanan impor perusahaan luar negri dengan modal sisa sisa kerapuhan sistem pemerintahan negri ini yang di grogoti para tikus tirani ormas partai hutang menggunung godaan konten sampah yang merusak moral gen z itu sendiri tanpa bimbingan bekal ilmu yang mumpuni gen z di paksa menyembuhkan negri yang sakit parah mungkin itu sebab di juliki generasi emas karena generasi akhir demografi indonesia harapan terakhir penyelamat ekonomi negri untuk generasi kedepan hingga anak cucu jika itu gagal negri hancur porak poranda perang saudara sementara bisnis konglomrat masih berdiri tegak jadi perusahaan internasional makanya gen z ini jadi generasi paling berat paling keras paling rawan yang akan menghadapi badai ekonomi yang dahsyat lebih dari sekedar krisis monoter kalau tak di arahan negri ini akan seperti afrika dan timteng hanya perang dan perang untuk kepentingan,setiap negara pasti punya oligarkinya masing masing bedanya oligarki negara maju industrialisasi mesin elektro tekno terbarukan chip dll menyangga ekonomi negara maju ranah global ditambah oligarki negara maju bersetatus chebol masih bisa kendalikan pemerintah sementara oligarki negara berkembang indo non industrialisasi kaya tambang impor membunuh kreatifitas inovatifitas produktifitas rakyat sendiri oligarkinonindustri racun negara parahnya oligarki indo terlanjur monster naga raksasa sulit kendalikan negara terbukti era habibi mega sby joko hanya bisa menyegel artian hanya bisa diajak kerja tak bisa perintah bahkan sangking kayanya bisa menguasai negara sendiri tak bisa menyalahkan oligarki begitu berjalan sesuai sistem hukum ekonomi salah kebijakan ambil pemerintahan terdahulu dimana semua bermula orde baru selama anggap pahlawan ternyata memberi setengah nyawa sakti negara kepada segelintir cacing kecil keroni kelak naga tahun tahun emas an era negara negara hancur asia timur singapore malaysia pemulihan bersaing mulai industrialisasi nol sementara soeharto terlena dngn pemasukan sda tambang migas membiarkan industri lokal mati kalah saing uang negara hanya prioritaskan kroninya bergantung impor kreativitas produktifitas rakyat biarkan bodoh terlena produk impor tidak rasa ingin mobil lokal semua hanya doktrin petani serentak pemasukan tambahkan teknologi tak terasa tahun berkuasa cacing naga raksasa perparah hutang negara kian bertambah gen generasi terakhir suruh nanggung dosa leluhur generasi kakek bomer perang ekonomi tirani oligarki negri tekanan impor perusahaan luar negri modal sisa sisa kerapuhan sistem pemerintahan negri grogoti tikus tirani ormas partai hutang menggunung godaan konten sampah merusak moral gen sendiri bimbingan bekal ilmu mumpuni gen paksa menyembuhkan negri sakit parah mungkin juliki generasi emas generasi demografi indonesia harapan terakhir penyelamat ekonomi negri generasi kedepan hingga anak cucu jika gagal negri hancur porak poranda perang saudara sementara bisnis konglomrat masih berdiri tegak perusahaan internasional makanya gen generasi paling berat paling keras paling rawan menghadapi badai ekonomi dahsyat lebih sekedar krisis monoter kalau tak arahan negri afrika timteng hanya perang perang kepentingan,,2744,361,0,0,0,0,0,0,0.7013
UgwOAAPFL3rkwPDphHt4AaABAg,UgwOAAPFL3rkwPDphHt4AaABAg,F6fgLwUeeqI,@hunink-n8f,UCHHsL5lc8eYV5Jw8zkaCqzQ,2026-01-06T11:03:21Z,2026-01-06T11:03:21Z,1,0,"TRADISI PEMBODOHAN PADA TUBUH NEGARA YG MADZOROTNYA BESAR=KATA“SIPIL”PADA PNS/ASN,
-padahal ASN tangan kanan pemerintah,bagian dari tubuh negara itu sendiri.
-Istilah“Aparatur Sipil Negara”secara psikologis memberi pesan:“Sipil”=warga biasa,Bukan militer/penguasa/negara,
-Padahal faktanya:ASN punya kewenangan negara,Mengelola uang publik,Mengambil keputusan administratif yang mengikat rakyat,hidup dari pajak rakyat bukan swasta/mandiri.
-Ini kontradiksi bahasa yang berbahaya karna 
Nama bukan sekadar label,tapi pembentuk identitas.
*Ketika disebut“sipil”:
   -ASN merasa setara dengan rakyat,
   -Mudah berkata:“Saya juga rakyat kecil”,
   -Mudah menghindar dari tanggung jawab.
*Padahal Devinisi rakyat biasa itu:
    -tidak menandatangani SP2D,
    -tidak mengatur proyek,
    -tidak punya stempel negara,
    - tidak menerima gaji negara.
*Mengganti istilah menjadi misal""Tangan kanan pemerintah,bagian tubuh pemerintah,abdi pemerintah untuk melayani rakyat""akan memberi pesan tegas bahwa “ASN bukan rakyat biasa/sipil,ASN adalah perpanjangan negara”.
*Negara-negara maju saja sangat serius soal penamaan birokrasinya.contoh Prancis:Fonctionnaire de l’État(Pejabat Negara),Jepang:Kokka kōmuin(Pegawai Negara),Tiongkok:State Cadres,Korea Selatan:Government Officials(Semua tidak ada yang menekankan kata“sipil”sebagai identitas utama,Para asn negara maju benar-benar bersumpah jihad berkorban demi negara untuk rakyat)
*Identitas asn juga HARUS dibarengi dengan:
   -Standar etik lebih tinggi,  -Hukuman lebih berat,
   -Evaluasi kinerja keras,     -Pemecatan nyata,
   -Larangan berlindung di“rakyat kecil”.
*Prinsipnya:Hak istimewa naik maka tanggung jawab pun juga naik.
*KALAU TIDAK DIGANTI:
   -ASN akan selalu berlindung di status“sipil”,
   -Korupsi dianggap“kesalahan kolektif”,
   -Kepala daerah jadi kambing hitam,
   -Aparatur bawah lolos,
*Ini moral hazard struktural,Negara tidak akan kuat jika tangan-tangannya tidak sadar bahwa mereka adalah tangan negara.dyzydz",tradisi pembodohan pada tubuh negara yang madzorotnya besar kata sipil pada pns asn padahal asn tangan kanan pemerintah bagian dari tubuh negara itu sendiri istilah aparatur sipil negara secara psikologis memberi pesan sipil warga biasa bukan militer penguasa negara padahal faktanya asn punya kewenangan negara mengelola uang publik mengambil keputusan administratif yang mengikat rakyat hidup dari pajak rakyat bukan swasta mandiri ini kontradiksi bahasa yang berbahaya karena nama bukan sekadar label tapi pembentuk identitas ketika disebut sipil asn merasa setara dengan rakyat mudah berkata saya juga rakyat kecil mudah menghindar dari tanggung jawab padahal devinisi rakyat biasa itu tidak menandatangani sp2d tidak mengatur proyek tidak punya stempel negara tidak menerima gaji negara mengganti istilah menjadi misal tangan kanan pemerintah bagian tubuh pemerintah abdi pemerintah untuk melayani rakyat akan memberi pesan tegas bahwa asn bukan rakyat biasa sipil asn adalah perpanjangan negara negara-negara maju saja sangat serius soal penamaan birokrasinya contoh prancis fonctionnaire de l tat pejabat negara jepang kokka k muin pegawai negara tiongkok state cadres korea selatan government officials semua tidak ada yang menekankan kata sipil sebagai identitas utama para asn negara maju benar-benar bersumpah jihad berkorban demi negara untuk rakyat identitas asn juga harus dibarengi dengan standar etik lebih tinggi hukuman lebih berat evaluasi kinerja keras pemecatan nyata larangan berlindung di rakyat kecil prinsipnya hak istimewa naik maka tanggung jawab pun juga naik kalau tidak diganti asn akan selalu berlindung di status sipil korupsi dianggap kesalahan kolektif kepala daerah jadi kambing hitam aparatur bawah lolos ini moral hazard struktural negara tidak akan kuat jika tangan-tangannya tidak sadar bahwa mereka adalah tangan negara,tradisi pembodohan tubuh negara madzorotnya besar kata sipil pns asn padahal asn tangan kanan pemerintah bagian tubuh negara sendiri istilah aparatur sipil negara psikologis memberi pesan sipil warga biasa bukan militer penguasa negara padahal faktanya asn punya kewenangan negara mengelola uang publik mengambil keputusan administratif mengikat rakyat hidup pajak rakyat bukan swasta mandiri kontradiksi bahasa berbahaya nama bukan sekadar label tapi pembentuk identitas ketika disebut sipil asn merasa setara rakyat mudah berkata rakyat kecil mudah menghindar tanggung jawab padahal devinisi rakyat biasa tidak menandatangani sp2d tidak mengatur proyek tidak punya stempel negara tidak menerima gaji negara mengganti istilah menjadi misal tangan kanan pemerintah bagian tubuh pemerintah abdi pemerintah melayani rakyat memberi pesan tegas asn bukan rakyat biasa sipil asn perpanjangan negara negara-negara maju sangat serius soal penamaan birokrasinya contoh prancis fonctionnaire de tat pejabat negara jepang kokka muin pegawai negara tiongkok state cadres korea selatan government officials semua tidak menekankan kata sipil identitas utama asn negara maju benar-benar bersumpah jihad berkorban negara rakyat identitas asn harus dibarengi standar etik lebih tinggi hukuman lebih berat evaluasi kinerja keras pemecatan nyata larangan berlindung rakyat kecil prinsipnya hak istimewa naik tanggung jawab pun naik kalau tidak diganti asn selalu berlindung status sipil korupsi dianggap kesalahan kolektif kepala daerah kambing hitam aparatur bawah lolos moral hazard struktural negara tidak kuat jika tangan-tangannya tidak sadar tangan negara,,1985,218,0,0,0,0,0,0,0.1021
Ugw5kO2JAixOn7m8uhV4AaABAg,Ugw5kO2JAixOn7m8uhV4AaABAg,F6fgLwUeeqI,@hunink-n8f,UCHHsL5lc8eYV5Jw8zkaCqzQ,2026-01-06T11:02:53Z,2026-01-06T11:02:53Z,1,0,"JIKA KALIAN INGIN INDONESIA MAJU SILAHKAN BACA INI.
Selama ini kepala daerah bahkan presiden di jegal di kendalikan parpol yg terima duit tambahan kampanye dll dari para oligarki.partai tak salah tapi sistem yg salah.
SISTEM PEMERINTAHAN SALAH=ORANG-ORANGNYA PUN IKUT SALAH.
A> SISTEM INDO HARUS DI UBAH JADI:Demokrasi Terpimpin Modern(bukan Orde Lama),(Ini BUKAN otoriter,BUKAN militeristik,tapi:Demokrasi dibatasi,Kekuasaan dipusatkan,Parpol dikerdilkan).artinya:
*Presiden sangat kuat(tapi diawasi).Presiden dipilih langsung rakyat.Masa jabatan1x panjang(8–10 tahun),>Hasilnya supaya fokus kerja bukan kampanye,Tidak bisa dijatuhkan DPR kecuali:Korupsi berat,Pengkhianatan negara.
*DPR tidak dominan.DPR tidak bisa sandera kebijakan,Tidak ada bagi-bagi kursi menteri,Fungsi DPR dipersempit(Pengawasan Anggaran,Persetujuan terbatas UU strategis).>hasilnya DPR bukan pengendali negara,hanya pengawas.
B> TRANSISI 10 TAHUN:“MENETRALKAN PARPOL”.(Ini bagian paling krusial).
*Tahun1–3:Penjinakan.Audit keuangan seluruh parpol,Dana swasta besar dilarang,Parpol hanya boleh terima dana negara.Pelanggaran=dibekukan.> hasilnya 50% parpol akan gugur alami.
*Tahun4–6:Kompetisi independen.Calon independen dibuka luas.DPR diisi campuran(Independen & Parpol lolos audit).>hasilnya Parpol bukan satu-satunya pintu kekuasaan.
*Tahun7–10:Parpol sebagai klub ide.Parpol tidak wajib ikut pemilu,Tidak punya hak“jatah jabatan”,Hanya berfungsi:Pendidikan politik,Rekrut kader.>hasilnya Kalau rakyat tak percaya:mati sendiri.
C> BIROKRASI,TEKNOKRAT=JANTUNG NEGARA.Negara tidak boleh tergantung politisi.
*Menteri & pejabat=profesional(Dipilih lewat:Rekam jejak,Uji publik,Panel independen,Parpol dilarang titip jabatan teknis).
*Lembaga kunci super kuat(KPK,MA,BPK→otonom penuh,Gaji tinggi,Hukuman) pelanggaran=sosial+hukum.>hasilnya Elite takut hukum,bukan sebaliknya.
D> DEMOKRASI LANGSUNG TERBATAS(aman).Bukan semua rakyat voting tiap hari(itu chaos).Yg boleh referendum:Amandemen UUD,Penjualan SDA strategis,Utang besar negara,Pemindahan ibu kota.>hasilnya isu besar:rakyat langsung.
E> ELITE PASTI TAKUT MODEL INI KARNA:Hilang ladang uang & posisi aman,Tidak bisa sandera presiden & barter proyek.Ingat Parpol hari ini:Bukan alat rakyat,tapi alat bertahan hidup elite.
F> PARPOL DIBUBARKAN TOTAL=BERESIKO.Jika parpol dihapus tanpa desain:Militer naik,Intel dominan,Kritik disamakan makar,Media dikendalikan.> Sebab itu parpol jangan dibunuh,tapi dikurung.
G> INGAT.*Parpol bukan sumber demokrasi.Rakyat+hukum+birokrasi bersih=Demokrasi sejati.Masalah Indo sekarang:Demokrasi prosedural bukan Demokrasi substansi.-Solusi:Kurangi aktor politik,perkuat negara,lindungi rakyat.-Terakhir (ini penting),Banyak orang merasa:Apatis,Marah,Ingin sistem diganti total.Itu bukan tanda bodoh,tapi tanda sistem gagal memberi harapan.teztez",jika kalian ingin indonesia maju silahkan baca ini selama ini kepala daerah bahkan presiden di jegal di kendalikan parpol yang terima duit tambahan kampanye dll dari para oligarki partai tak salah tapi sistem yang salah sistem pemerintahan salah orang-orangnya pun ikut salah a sistem indo harus di ubah jadi demokrasi terpimpin modern bukan orde lama ini bukan otoriter bukan militeristik tapi demokrasi dibatasi kekuasaan dipusatkan parpol dikerdilkan artinya presiden sangat kuat tapi diawasi presiden dipilih langsung rakyat masa jabatan1x panjang tahun hasilnya supaya fokus kerja bukan kampanye tidak bisa dijatuhkan dpr kecuali korupsi berat pengkhianatan negara dpr tidak dominan dpr tidak bisa sandera kebijakan tidak ada bagi-bagi kursi menteri fungsi dpr dipersempit pengawasan anggaran persetujuan terbatas uu strategis hasilnya dpr bukan pengendali negara hanya pengawas b transisi tahun menetralkan parpol ini bagian paling krusial tahun1 penjinakan audit keuangan seluruh parpol dana swasta besar dilarang parpol hanya boleh terima dana negara pelanggaran dibekukan hasilnya parpol akan gugur alami tahun4 kompetisi independen calon independen dibuka luas dpr diisi campuran independen parpol lolos audit hasilnya parpol bukan satu-satunya pintu kekuasaan tahun7 parpol sebagai klub ide parpol tidak wajib ikut pemilu tidak punya hak jatah jabatan hanya berfungsi pendidikan politik rekrut kader hasilnya kalau rakyat tak percaya mati sendiri c birokrasi teknokrat jantung negara negara tidak boleh tergantung politisi menteri pejabat profesional dipilih lewat rekam jejak uji publik panel independen parpol dilarang titip jabatan teknis lembaga kunci super kuat kpk sama bpk otonom penuh gaji tinggi hukuman pelanggaran sosial hukum hasilnya elite takut hukum bukan sebaliknya d demokrasi langsung terbatas aman bukan semua rakyat voting tiap hari itu chaos yang boleh referendum amandemen uud penjualan sda strategis utang besar negara pemindahan ibu kota hasilnya isu besar rakyat langsung e elite pasti takut model ini karena hilang ladang uang posisi aman tidak bisa sandera presiden barter proyek ingat parpol hari ini bukan alat rakyat tapi alat bertahan hidup elite f parpol dibubarkan total beresiko jika parpol dihapus tanpa desain militer naik intel dominan kritik disamakan makar media dikendalikan sebab itu parpol jangan dibunuh tapi dikurung g ingat parpol bukan sumber demokrasi rakyat hukum birokrasi bersih demokrasi sejati masalah indo sekarang demokrasi prosedural bukan demokrasi substansi solusi kurangi aktor politik perkuat negara lindungi rakyat terakhir ini penting banyak orang merasa apatis marah ingin sistem diganti total itu bukan tanda bodoh tapi tanda sistem gagal memberi harapan teztez,jika kalian ingin indonesia maju silahkan baca selama kepala daerah bahkan presiden jegal kendalikan parpol terima duit tambahan kampanye dll oligarki partai tak salah tapi sistem salah sistem pemerintahan salah orang-orangnya pun ikut salah sistem indo harus ubah demokrasi terpimpin modern bukan orde lama bukan otoriter bukan militeristik tapi demokrasi dibatasi kekuasaan dipusatkan parpol dikerdilkan artinya presiden sangat kuat tapi diawasi presiden dipilih langsung rakyat masa jabatan1x panjang tahun hasilnya supaya fokus kerja bukan kampanye tidak bisa dijatuhkan dpr kecuali korupsi berat pengkhianatan negara dpr tidak dominan dpr tidak bisa sandera kebijakan tidak bagi-bagi kursi menteri fungsi dpr dipersempit pengawasan anggaran persetujuan terbatas uu strategis hasilnya dpr bukan pengendali negara hanya pengawas transisi tahun menetralkan parpol bagian paling krusial tahun1 penjinakan audit keuangan seluruh parpol dana swasta besar dilarang parpol hanya boleh terima dana negara pelanggaran dibekukan hasilnya parpol gugur alami tahun4 kompetisi independen calon independen dibuka luas dpr diisi campuran independen parpol lolos audit hasilnya parpol bukan satu-satunya pintu kekuasaan tahun7 parpol klub ide parpol tidak wajib ikut pemilu tidak punya hak jatah jabatan hanya berfungsi pendidikan politik rekrut kader hasilnya kalau rakyat tak percaya mati sendiri birokrasi teknokrat jantung negara negara tidak boleh tergantung politisi menteri pejabat profesional dipilih lewat rekam jejak uji publik panel independen parpol dilarang titip jabatan teknis lembaga kunci super kuat kpk bpk otonom penuh gaji tinggi hukuman pelanggaran sosial hukum hasilnya elite takut hukum bukan sebaliknya demokrasi langsung terbatas aman bukan semua rakyat voting tiap hari chaos boleh referendum amandemen uud penjualan sda strategis utang besar negara pemindahan ibu kota hasilnya isu besar rakyat langsung elite pasti takut model hilang ladang uang posisi aman tidak bisa sandera presiden barter proyek ingat parpol hari bukan alat rakyat tapi alat bertahan hidup elite parpol dibubarkan total beresiko jika parpol dihapus desain militer naik intel dominan kritik disamakan makar media dikendalikan parpol jangan dibunuh tapi dikurung ingat parpol bukan sumber demokrasi rakyat hukum birokrasi bersih demokrasi sejati masalah indo sekarang demokrasi prosedural bukan demokrasi substansi solusi kurangi aktor politik perkuat negara lindungi rakyat terakhir penting banyak orang merasa apatis marah ingin sistem diganti total bukan tanda bodoh tapi tanda sistem gagal memberi harapan teztez,,2814,290,0,0,0,0,0,0,0.1722
UgxvqKSvI6XBfxsyg8t4AaABAg,UgxvqKSvI6XBfxsyg8t4AaABAg,F6fgLwUeeqI,@indah-n9,UCPgMGacvBdC6bmDMxIWPYKw,2025-12-24T13:58:19Z,2025-12-24T13:58:19Z,0,0,"Revisi nya kondidera huruf A SDH eror in drafting cntumkn tujuan nasional substansi nya pembukaan UUD 45, Tusi TNI psal 30 UUD 45 TDK ada, hrs nya ada yuridis dll",revisi nya kondidera huruf a sdh eror in drafting cntumkn tujuan nasional substansi nya pembukaan uud tusi tni psal uud tidak ada hrs nya ada yuridis dll,revisi kondidera huruf sdh eror in drafting cntumkn tujuan nasional substansi pembukaan uud tusi tni psal uud tidak hrs yuridis dll,,162,30,0,0,0,0,0,0,0.144
UgxAy8XOeaNVbX7uyst4AaABAg,UgxAy8XOeaNVbX7uyst4AaABAg,F6fgLwUeeqI,@aronterbaru2390,UCacSXM-X1-q2LOWXRk4OIsQ,2025-06-04T04:03:02Z,2025-06-04T04:03:02Z,0,0,"EMANG PENDUKUNG NYA PRAVVVOWO ITU PEKOK TUOLOL SEMUA, WONG CUMA DILATIH OTOT BUKAN OTAK",emang pendukung nya pravvowo itu pekok tuolol semua wong hanya dilatih otot bukan otak,emang pendukung pravvowo pekok tuolol semua wong hanya dilatih otot bukan otak,,87,14,0,0,0,0,0,0,1.0
UgxjwU3P0OlJJy6XkDR4AaABAg,UgxjwU3P0OlJJy6XkDR4AaABAg,F6fgLwUeeqI,@dewasutedja2261,UCT1KAiUCxpjcAqe_XQo0REA,2025-06-03T07:25:10Z,2025-06-03T07:25:10Z,0,0,"Apa hasil kerja dari TNI ???? coba siapa yang bisa menjawabnya.....dan siapa penghianat  reformasi coba juga jawab ? masih ingat kasusHAM trisakti, kudatuli, tanjung periok, Marsinah ?? siapa yang bisa menjawab ?",apa hasil kerja dari tni coba siapa yang bisa menjawabnya dan siapa penghianat reformasi coba juga jawab masih ingat kasusham trisakti kudatuli tanjung periok marsinah siapa yang bisa menjawab,hasil kerja tni coba siapa bisa menjawabnya siapa penghianat reformasi coba jawab masih ingat kasusham trisakti kudatuli tanjung periok marsinah siapa bisa menjawab,,212,32,0,0,0,0,0,8,0.0488
UgxeI_c3K-RZd1jVJ454AaABAg,UgxeI_c3K-RZd1jVJ454AaABAg,F6fgLwUeeqI,@zidnyknight3611,UCJRFDuSMzEP5TFK_JK1wykA,2025-05-22T11:57:03Z,2025-05-22T11:57:03Z,0,0,Thanks,thanks,thanks,,6,1,0,0,0,0,0,0,0.1667
UgwpZtkqyZqlOX4CQMh4AaABAg,UgwpZtkqyZqlOX4CQMh4AaABAg,F6fgLwUeeqI,@saifullohaja2190,UCuh6FgL6x9-4mk5NflDlKdw,2025-05-09T13:10:00Z,2025-05-09T13:10:00Z,0,1,Dbayar berapa bang,dbayar berapa bang,dbayar berapa bang,,18,3,0,0,0,0,0,0,0.0625
UgzT237V_gBymyTlull4AaABAg,UgzT237V_gBymyTlull4AaABAg,F6fgLwUeeqI,@Jecxwolf,UC14CIymODSc_pbTDUsmMTDA,2025-05-05T07:49:34Z,2025-05-05T07:49:34Z,0,0,Propaganda supremasi sipil berusaha dipertahankan meskipun menggunakan ijazah palsu.. 😆😆😆,propaganda supremasi sipil berusaha dipertahankan meskipun menggunakan ijazah palsu,propaganda supremasi sipil berusaha dipertahankan meskipun menggunakan ijazah palsu,,89,10,3,0,0,0,0,0,0.0133
UgwSJYy2moP3HTGc2dF4AaABAg,UgwSJYy2moP3HTGc2dF4AaABAg,F6fgLwUeeqI,@nightmar3-i3b,UCnyUUAUS94rZxhcoR80S7Fw,2025-04-26T11:57:36Z,2025-04-26T11:58:41Z,0,1,"Lu gak bakal di denger bang , capek banget hidup di Indonesia. Yang gw heran kenapa orang-orang goblok itu bisa di sana. Tapi gini bang kalau semua lari siapa yang akan mengawal di sini. Ini gak relevan sih tapi saya hanya berharap ada keajaiban di negara ini.",kamu tidak bakal di denger bang capek sangat hidup di indonesia yang saya heran kenapa orang-orang goblok itu bisa di sana tapi gini bang kalau semua lari siapa yang akan mengawal di sini ini tidak relevan sih tapi saya hanya berharap ada keajaiban di negara ini,tidak bakal denger bang capek sangat hidup indonesia heran kenapa orang-orang goblok bisa sana tapi gini bang kalau semua lari siapa mengawal sini tidak relevan sih tapi hanya berharap keajaiban negara,,260,47,0,0,0,0,0,0,0.024
