comment_id,video_id,text_original,text_final
UgwOAAPFL3rkwPDphHt4AaABAg,F6fgLwUeeqI,"TRADISI PEMBODOHAN PADA TUBUH NEGARA YG MADZOROTNYA BESAR=KATA“SIPIL”PADA PNS/ASN,
-padahal ASN tangan kanan pemerintah,bagian dari tubuh negara itu sendiri.
-Istilah“Aparatur Sipil Negara”secara psikologis memberi pesan:“Sipil”=warga biasa,Bukan militer/penguasa/negara,
-Padahal faktanya:ASN punya kewenangan negara,Mengelola uang publik,Mengambil keputusan administratif yang mengikat rakyat,hidup dari pajak rakyat bukan swasta/mandiri.
-Ini kontradiksi bahasa yang berbahaya karna 
Nama bukan sekadar label,tapi pembentuk identitas.
*Ketika disebut“sipil”:
   -ASN merasa setara dengan rakyat,
   -Mudah berkata:“Saya juga rakyat kecil”,
   -Mudah menghindar dari tanggung jawab.
*Padahal Devinisi rakyat biasa itu:
    -tidak menandatangani SP2D,
    -tidak mengatur proyek,
    -tidak punya stempel negara,
    - tidak menerima gaji negara.
*Mengganti istilah menjadi misal""Tangan kanan pemerintah,bagian tubuh pemerintah,abdi pemerintah untuk melayani rakyat""akan memberi pesan tegas bahwa “ASN bukan rakyat biasa/sipil,ASN adalah perpanjangan negara”.
*Negara-negara maju saja sangat serius soal penamaan birokrasinya.contoh Prancis:Fonctionnaire de l’État(Pejabat Negara),Jepang:Kokka kōmuin(Pegawai Negara),Tiongkok:State Cadres,Korea Selatan:Government Officials(Semua tidak ada yang menekankan kata“sipil”sebagai identitas utama,Para asn negara maju benar-benar bersumpah jihad berkorban demi negara untuk rakyat)
*Identitas asn juga HARUS dibarengi dengan:
   -Standar etik lebih tinggi,  -Hukuman lebih berat,
   -Evaluasi kinerja keras,     -Pemecatan nyata,
   -Larangan berlindung di“rakyat kecil”.
*Prinsipnya:Hak istimewa naik maka tanggung jawab pun juga naik.
*KALAU TIDAK DIGANTI:
   -ASN akan selalu berlindung di status“sipil”,
   -Korupsi dianggap“kesalahan kolektif”,
   -Kepala daerah jadi kambing hitam,
   -Aparatur bawah lolos,
*Ini moral hazard struktural,Negara tidak akan kuat jika tangan-tangannya tidak sadar bahwa mereka adalah tangan negara.dyzydz",tradisi pembodohan tubuh negara madzorotnya besar kata sipil pns asn padahal asn tangan kanan pemerintah bagian tubuh negara sendiri istilah aparatur sipil negara psikologis memberi pesan sipil warga biasa bukan militer penguasa negara padahal faktanya asn punya kewenangan negara mengelola uang publik mengambil keputusan administratif mengikat rakyat hidup pajak rakyat bukan swasta mandiri kontradiksi bahasa berbahaya nama bukan sekadar label pembentuk identitas disebut sipil asn merasa setara rakyat mudah berkata rakyat kecil mudah menghindar tanggung jawab padahal devinisi rakyat biasa tidak menandatangani spzd tidak mengatur proyek tidak punya stempel negara tidak menerima gaji negara mengganti istilah menjadi misal tangan kanan pemerintah bagian tubuh pemerintah abdi pemerintah melayani rakyat memberi pesan tegas asn bukan rakyat biasa sipi
Ugw5kO2JAixOn7m8uhV4AaABAg,F6fgLwUeeqI,"JIKA KALIAN INGIN INDONESIA MAJU SILAHKAN BACA INI.
Selama ini kepala daerah bahkan presiden di jegal di kendalikan parpol yg terima duit tambahan kampanye dll dari para oligarki.partai tak salah tapi sistem yg salah.
SISTEM PEMERINTAHAN SALAH=ORANG-ORANGNYA PUN IKUT SALAH.
A> SISTEM INDO HARUS DI UBAH JADI:Demokrasi Terpimpin Modern(bukan Orde Lama),(Ini BUKAN otoriter,BUKAN militeristik,tapi:Demokrasi dibatasi,Kekuasaan dipusatkan,Parpol dikerdilkan).artinya:
*Presiden sangat kuat(tapi diawasi).Presiden dipilih langsung rakyat.Masa jabatan1x panjang(8–10 tahun),>Hasilnya supaya fokus kerja bukan kampanye,Tidak bisa dijatuhkan DPR kecuali:Korupsi berat,Pengkhianatan negara.
*DPR tidak dominan.DPR tidak bisa sandera kebijakan,Tidak ada bagi-bagi kursi menteri,Fungsi DPR dipersempit(Pengawasan Anggaran,Persetujuan terbatas UU strategis).>hasilnya DPR bukan pengendali negara,hanya pengawas.
B> TRANSISI 10 TAHUN:“MENETRALKAN PARPOL”.(Ini bagian paling krusial).
*Tahun1–3:Penjinakan.Audit keuangan seluruh parpol,Dana swasta besar dilarang,Parpol hanya boleh terima dana negara.Pelanggaran=dibekukan.> hasilnya 50% parpol akan gugur alami.
*Tahun4–6:Kompetisi independen.Calon independen dibuka luas.DPR diisi campuran(Independen & Parpol lolos audit).>hasilnya Parpol bukan satu-satunya pintu kekuasaan.
*Tahun7–10:Parpol sebagai klub ide.Parpol tidak wajib ikut pemilu,Tidak punya hak“jatah jabatan”,Hanya berfungsi:Pendidikan politik,Rekrut kader.>hasilnya Kalau rakyat tak percaya:mati sendiri.
C> BIROKRASI,TEKNOKRAT=JANTUNG NEGARA.Negara tidak boleh tergantung politisi.
*Menteri & pejabat=profesional(Dipilih lewat:Rekam jejak,Uji publik,Panel independen,Parpol dilarang titip jabatan teknis).
*Lembaga kunci super kuat(KPK,MA,BPK→otonom penuh,Gaji tinggi,Hukuman) pelanggaran=sosial+hukum.>hasilnya Elite takut hukum,bukan sebaliknya.
D> DEMOKRASI LANGSUNG TERBATAS(aman).Bukan semua rakyat voting tiap hari(itu chaos).Yg boleh referendum:Amandemen UUD,Penjualan SDA strategis,Utang besar negara,Pemindahan ibu kota.>hasilnya isu besar:rakyat langsung.
E> ELITE PASTI TAKUT MODEL INI KARNA:Hilang ladang uang & posisi aman,Tidak bisa sandera presiden & barter proyek.Ingat Parpol hari ini:Bukan alat rakyat,tapi alat bertahan hidup elite.
F> PARPOL DIBUBARKAN TOTAL=BERESIKO.Jika parpol dihapus tanpa desain:Militer naik,Intel dominan,Kritik disamakan makar,Media dikendalikan.> Sebab itu parpol jangan dibunuh,tapi dikurung.
G> INGAT.*Parpol bukan sumber demokrasi.Rakyat+hukum+birokrasi bersih=Demokrasi sejati.Masalah Indo sekarang:Demokrasi prosedural bukan Demokrasi substansi.-Solusi:Kurangi aktor politik,perkuat negara,lindungi rakyat.-Terakhir (ini penting),Banyak orang merasa:Apatis,Marah,Ingin sistem diganti total.Itu bukan tanda bodoh,tapi tanda sistem gagal memberi harapan.teztez",kalian indonesia maju silahkan baca selama kepala daerah bahkan presiden jegal kendalikan parpol terima uang tambahan kampanye oligarki partai tak salah sistem salah sistem pemerintahan salah orang orangnya ikut salah sistem indonesia ubah jadi demokrasi terpimpin modern bukan orde lama bukan otoriter bukan militeristik demokrasi dibatasi kekuasaan dipusatkan parpol dikerdilkan artinya presiden sangat kuat diawasi presiden dipilih langsung rakyat masa jabatanix panjang tahun hasilnya fokus kerja bukan kampanye tidak dijatuhkan dpr korupsi berat pengkhianatan negara dpr tidak dominan dpr tidak sandera kebijakan tidak kursi menteri fungsi dpr dipersempit pengawasan anggaran persetujuan terbatas uu strategis hasilnya dpr bukan pengendali negara pengawas transisi tahun menetralkan parpol bagian paling krusial tahun penjinakan audit
UgxvqKSvI6XBfxsyg8t4AaABAg,F6fgLwUeeqI,"Revisi nya kondidera huruf A SDH eror in drafting cntumkn tujuan nasional substansi nya pembukaan UUD 45, Tusi TNI psal 30 UUD 45 TDK ada, hrs nya ada yuridis dll",revisi kondidera huruf eror drafting cntumkn tujuan nasional substansi pembukaan uud tusi tni psal uud tidak yuridis
UgxAy8XOeaNVbX7uyst4AaABAg,F6fgLwUeeqI,"EMANG PENDUKUNG NYA PRAVVVOWO ITU PEKOK TUOLOL SEMUA, WONG CUMA DILATIH OTOT BUKAN OTAK",memang pendukung pravvowo pekok tuolol semua wong dilatih otot bukan otak
UgxjwU3P0OlJJy6XkDR4AaABAg,F6fgLwUeeqI,"Apa hasil kerja dari TNI ???? coba siapa yang bisa menjawabnya.....dan siapa penghianat  reformasi coba juga jawab ? masih ingat kasusHAM trisakti, kudatuli, tanjung periok, Marsinah ?? siapa yang bisa menjawab ?",apa hasil kerja tni coba siapa menjawabnya siapa penghianat reformasi coba jawab ingat kasusham trisakti kudatuli tanjung periok marsinah siapa menjawab
UgzT237V_gBymyTlull4AaABAg,F6fgLwUeeqI,Propaganda supremasi sipil berusaha dipertahankan meskipun menggunakan ijazah palsu.. 😆😆😆,propaganda supremasi sipil berusaha dipertahankan meskipun menggunakan ijazah palsu emo_laugh
UgwSJYy2moP3HTGc2dF4AaABAg,F6fgLwUeeqI,"Lu gak bakal di denger bang , capek banget hidup di Indonesia. Yang gw heran kenapa orang-orang goblok itu bisa di sana. Tapi gini bang kalau semua lari siapa yang akan mengawal di sini. Ini gak relevan sih tapi saya hanya berharap ada keajaiban di negara ini.",kamu tidak bakal denger capek banget hidup indonesia heran orang orang goblok sana begini kalau semua lari siapa mengawal sini tidak relevan berharap keajaiban negara
UgwZ7WQ_bRSUhHt3t554AaABAg,F6fgLwUeeqI,"Saya berharap agar unsur2 komunisme yg menunggu momentum tertentu mengambil kesempatan tidak bermunculan kembali menjadi neo komunisme yg bertranformasi kedalam pikiran merusak mental generasi muda Indonesia menjadi tidak memiliki adab santun terhadap pendahulunya, berpikir radikalisme, suka akan kekerasan vandalisme dan jiwa rebelisme.",berharap unsur unsur komunisme menunggu momentum tertentu mengambil kesempatan tidak bermunculan menjadi neo komunisme bertranformasi kedalam pikiran merusak mental generasi muda indonesia menjadi tidak memiliki adab santun pendahulunya berpikir radikalisme suka kekerasan vandalisme jiwa rebelisme
UgwRx1CvJCq6POpFQlV4AaABAg,F6fgLwUeeqI,"Revisi terbaru UU TNI menuai kritik tajam karena dianggap lebih menguntungkan perwira tinggi, sementara prajurit berpangkat rendah terabaikan. Kebijakan seperti peningkatan usia pensiun jenderal bintang empat hingga 65 tahun dan perluasan jabatan sipil bagi perwira aktif menyoroti ketimpangan ini. Di sisi lain, kesejahteraan bintara dan tamtama nyaris tak tersentuh.

Lebih dari itu, revisi ini juga dipandang mengganggu prinsip supremasi sipil dalam negara demokratis. Dengan diberikannya akses kepada perwira aktif untuk menduduki jabatan sipil di 14 kementerian dan lembaga negara, kekhawatiran pun muncul terhadap potensi kembalinya dwifungsi TNI secara de facto—sebuah praktik yang telah ditinggalkan sejak era reformasi. Hal ini bukan hanya melemahkan kontrol sipil atas militer, tetapi juga membuka celah besar bagi penyalahgunaan kekuasaan dan pelanggaran hak asasi manusia.

Organisasi masyarakat sipil seperti Imparsial secara tegas menyebut bahwa revisi ini mengancam demokrasi dan memperbesar kemungkinan keterlibatan militer dalam urusan sipil, tanpa mekanisme akuntabilitas yang memadai. Pendekatan yang hanya menguntungkan elit militer ini juga dinilai memperlebar kesenjangan internal dan menurunkan moralitas serta profesionalisme TNI secara keseluruhan.

Jika tujuan revisi adalah memperkuat TNI, maka kebijakan tersebut harus adil, transparan, dan menghormati prinsip-prinsip demokrasi. Kesejahteraan bukan hak istimewa segelintir elite, dan kehadiran militer di ranah sipil harus dibatasi secara ketat. Demi menjaga demokrasi yang sehat, supremasi sipil dan perlindungan HAM harus tetap menjadi landasan utama dalam setiap kebijakan pertahanan.",revisi terbaru uu_tni menuai kritik tajam dianggap lebih menguntungkan perwira tinggi prajurit berpangkat rendah terabaikan kebijakan peningkatan usia pensiun jenderal bintang empat hingga tahun perluasan jabatan sipil perwira aktif menyoroti ketimpangan sisi kesejahteraan bintara tamtama nyaris tak tersentuh lebih revisi dipandang mengganggu prinsip supremasi sipil negara demokratis diberikannya akses perwira aktif menduduki jabatan sipil kementerian lembaga negara kekhawatiran muncul potensi kembalinya dwifungsi tni de facto sebuah praktik ditinggalkan sejak era reformasi bukan melemahkan kontrol sipil atas militer membuka celah besar penyalahgunaan kekuasaan pelanggaran hak asasi manusia organisasi masyarakat sipil imparsial tegas menyebut revisi mengancam demokrasi memperb
UgzTPTngGG-zoLsaXfd4AaABAg,F6fgLwUeeqI,"Apakah ini Advanced Method of ""Balas dendam kepada Masa Lalu""?

M I S A L : ""Dulu orang-orang 'seperti ini, seperti itu'. Sekarang Waktunya kita sudah tiba. Agar puas kita setelah dulunya sengsara"".",advanced method balas dendam masa lalu misal dulu orang orang sekarang waktunya tiba puas sengsara
